sgRNA_ID	Gene	HAP1_T0
chr11:88386424-88386443_GRM5_-	GRM5	1124.0
chr21:44524417-44524436_U2AF1_+	U2AF1	797.0
chr2:223559854-223559873_MOGAT1_+	MOGAT1	354.0
chr3:108072602-108072621_HHLA2_+	HHLA2	312.0
chrX:128645803-128645822_SMARCA1_+	SMARCA1	728.0
chr9:32500890-32500909_DDX58_-	DDX58	1319.0
chr10:114200301-114200320_ZDHHC6_+	ZDHHC6	647.0
chr1:236208857-236208876_NID1_-	NID1	1471.0
chr19:39805523-39805542_LRFN1_-	LRFN1	1311.0
chr1:201353919-201353938_LAD1_-	LAD1	979.0
chr6:88757779-88757798_SPACA1_+	SPACA1	1097.0
chr1:39717574-39717593_MACF1_+	MACF1	1324.0
chr19:4199919-4199938_ANKRD24_+	ANKRD24	692.0
chr6:31617328-31617347_BAG6_-	BAG6	238.0
chr22:38696768-38696787_CSNK1E_-	CSNK1E	433.0
chr1:101377697-101377716_SLC30A7_-	SLC30A7	356.0
chr19:57051031-57051050_ZFP28_+	ZFP28	927.0
chr20:13539717-13539736_TASP1_-	TASP1	182.0
chr3:47958095-47958114_MAP4_-	MAP4	730.0
chr3:151012389-151012408_GPR87_+	GPR87	774.0
chr2:87017610-87017629_CD8A_-	CD8A	507.0
chr6:137041678-137041697_MAP3K5_+	MAP3K5	1081.0
chr17:42882228-42882247_GJC1_-	GJC1	785.0
chr10:12940647-12940666_CCDC3_+	CCDC3	633.0
chr17:64302224-64302243_PRKCA_+	PRKCA	347.0
chr4:71522123-71522142_IGJ_-	IGJ	815.0
chr2:202672313-202672332_CDK15_-	CDK15	557.0
chr2:171917635-171917654_TLK1_-	TLK1	531.0
chr5:154311685-154311704_GEMIN5_+	GEMIN5	814.0
chr11:123865055-123865074_OR10G6_+	OR10G6	618.0
chrX:130678285-130678304_OR13H1_-	OR13H1	1324.0
chr18:28609484-28609503_DSC3_+	DSC3	255.0
chr6:44224193-44224212_SLC35B2_+	SLC35B2	402.0
chr7:142658167-142658186_KEL_+	KEL	199.0
chr19:9324887-9324906_OR7D4_+	OR7D4	766.0
chr5:131552923-131552942_P4HA2_-	P4HA2	1506.0
chr4:1836581-1836600_LETM1_+	LETM1	0.0
chr19:58290286-58290305_ZNF586_+	ZNF586	495.0
chr3:54871220-54871239_CACNA2D3_-	CACNA2D3	705.0
chr2:86343660-86343679_PTCD3_-	PTCD3	719.0
chr3:124906087-124906106_SLC12A8_+	SLC12A8	813.0
chr14:22102965-22102984_OR10G2_-	OR10G2	737.0
chr5:175837261-175837280_CLTB_+	CLTB	756.0
chr17:57298091-57298110_GDPD1_+	GDPD1	945.0
chr1:111435052-111435071_CD53_-	CD53	595.0
chr2:65492190-65492209_ACTR2_+	ACTR2	294.0
chr13:80911672-80911691_SPRY2_-	SPRY2	378.0
chr7:150814733-150814752_AGAP3_-	AGAP3	826.0
chr5:178392354-178392373_ZNF454_+	ZNF454	487.0
chr1:109635521-109635540_TMEM167B_-	TMEM167B	1153.0
chr12:57843434-57843453_INHBC_+	INHBC	411.0
chr19:44933589-44933608_ZNF229_-	ZNF229	689.0
chr4:102776298-102776317_BANK1_+	BANK1	1360.0
chr1:16757836-16757855_SPATA21_-	SPATA21	746.0
chrX:68382328-68382347_PJA1_-	PJA1	346.0
chr16:30409613-30409632_ZNF48_+	ZNF48	59.0
chr20:2967450-2967469_PTPRA_-	PTPRA	565.0
chr19:53669562-53669581_ZNF665_-	ZNF665	1178.0
chr21:33829946-33829965_EVA1C_-	EVA1C	0.0
chr19:18119172-18119191_ARRDC2_-	ARRDC2	440.0
chr16:24567170-24567189_RBBP6_-	RBBP6	513.0
chr11:17098705-17098724_RPS13_+	RPS13	460.0
chr1:228033753-228033772_PRSS38_-	PRSS38	275.0
chr1:183190000-183190019_LAMC2_-	LAMC2	599.0
chr12:6837120-6837139_COPS7A_-	COPS7A	1120.0
chr4:48158687-48158706_TEC_+	TEC	678.0
chr15:74836504-74836523_ARID3B_-	ARID3B	983.0
chr2:27560868-27560887_GTF3C2_-	GTF3C2	1052.0
chr1:33233665-33233684_KIAA1522_+	KIAA1522	395.0
chr6:80223408-80223427_LCA5_-	LCA5	968.0
chr7:134893729-134893748_WDR91_-	WDR91	325.0
chr19:55294969-55294988_KIR2DL1_+	KIR2DL1	660.0
chr19:58453572-58453591_ZNF256_-	ZNF256	291.0
chr8:66539528-66539547_ARMC1_-	ARMC1	342.0
chr7:102098382-102098401_ALKBH4_-	ALKBH4	551.0
chr11:128868282-128868301_ARHGAP32_-	ARHGAP32	757.0
chr20:47685292-47685311_CSE1L_-	CSE1L	868.0
chr8:139180126-139180145_FAM135B_+	FAM135B	448.0
chr11:134120188-134120207_THYN1_-	THYN1	861.0
chr1:45478638-45478657_UROD_+	UROD	1158.0
chr10:50534117-50534136_C10orf71_+	C10orf71	352.0
chrX:14862649-14862668_FANCB_-	FANCB	482.0
chr5:76330313-76330332_AGGF1_+	AGGF1	602.0
chr11:11470425-11470444_GALNT18_+	GALNT18	334.0
chr12:21176165-21176184_SLCO1B7_-	SLCO1B7	889.0
chr12:86198632-86198651_RASSF9_-	RASSF9	726.0
chr1:65339059-65339078_JAK1_+	JAK1	106.0
chr4:166220802-166220821_KLHL2_-	KLHL2	457.0
chr1:235506001-235506020_GGPS1_+	GGPS1	764.0
chr16:53726079-53726098_RPGRIP1L_-	RPGRIP1L	732.0
chr14:97014150-97014169_PAPOLA_+	PAPOLA	305.0
chr1:47759163-47759182_STIL_+	STIL	1752.0
chr4:96762270-96762289_PDHA2_+	PDHA2	1491.0
chr13:44462994-44463013_LACC1_-	LACC1	421.0
chr1:226065151-226065170_TMEM63A_-	TMEM63A	857.0
chr1:13388910-13388929_PRAMEF8_-	PRAMEF8	850.0
chr17:57775066-57775085_PTRH2_+	PTRH2	811.0
chr9:4685034-4685053_CDC37L1_+	CDC37L1	429.0
chr12:133697999-133698018_ZNF891_-	ZNF891	394.0
chrX:119744884-119744903_MCTS1_+	MCTS1	557.0
chr22:32841970-32841989_BPIFC_-	BPIFC	1498.0
chr6:53156635-53156654_ELOVL5_-	ELOVL5	761.0
chr5:123979964-123979983_ZNF608_+	ZNF608	675.0
chr11:113568108-113568127_TMPRSS5_-	TMPRSS5	669.0
chr17:72227054-72227073_TTYH2_+	TTYH2	533.0
chr7:139416293-139416312_HIPK2_-	HIPK2	1200.0
chr1:47157564-47157583_EFCAB14_-	EFCAB14	1400.0
chr14:77928564-77928583_AHSA1_+	AHSA1	1454.0
chr12:7025655-7025674_ENO2_+	ENO2	707.0
chr8:97270592-97270611_MTERFD1_+	MTERFD1	231.0
chr17:7227018-7227037_NEURL4_+	NEURL4	100.0
chr1:161012645-161012664_USF1_-	USF1	894.0
chr4:186320744-186320763_ANKRD37_+	ANKRD37	407.0
chr1:170001029-170001048_KIFAP3_-	KIFAP3	482.0
chr7:150439433-150439452_GIMAP5_+	GIMAP5	426.0
chr20:44505392-44505411_ZSWIM3_+	ZSWIM3	351.0
chr2:132914884-132914903_ANKRD30BL_-	ANKRD30BL	848.0
chr7:86479759-86479778_GRM3_-	GRM3	491.0
chr1:153640015-153640034_ILF2_+	ILF2	692.0
