sgRNA_ID	Gene	HAP1_T18B
chr11:88386424-88386443_GRM5_-	GRM5	830.0
chr21:44524417-44524436_U2AF1_+	U2AF1	35.0
chr2:223559854-223559873_MOGAT1_+	MOGAT1	231.0
chr3:108072602-108072621_HHLA2_+	HHLA2	438.0
chrX:128645803-128645822_SMARCA1_+	SMARCA1	501.0
chr9:32500890-32500909_DDX58_-	DDX58	654.0
chr10:114200301-114200320_ZDHHC6_+	ZDHHC6	398.0
chr1:236208857-236208876_NID1_-	NID1	746.0
chr19:39805523-39805542_LRFN1_-	LRFN1	290.0
chr1:201353919-201353938_LAD1_-	LAD1	441.0
chr6:88757779-88757798_SPACA1_+	SPACA1	980.0
chr1:39717574-39717593_MACF1_+	MACF1	608.0
chr19:4199919-4199938_ANKRD24_+	ANKRD24	228.0
chr6:31617328-31617347_BAG6_-	BAG6	103.0
chr22:38696768-38696787_CSNK1E_-	CSNK1E	677.0
chr1:101377697-101377716_SLC30A7_-	SLC30A7	187.0
chr19:57051031-57051050_ZFP28_+	ZFP28	478.0
chr20:13539717-13539736_TASP1_-	TASP1	192.0
chr3:47958095-47958114_MAP4_-	MAP4	503.0
chr3:151012389-151012408_GPR87_+	GPR87	457.0
chr2:87017610-87017629_CD8A_-	CD8A	229.0
chr6:137041678-137041697_MAP3K5_+	MAP3K5	355.0
chr17:42882228-42882247_GJC1_-	GJC1	223.0
chr10:12940647-12940666_CCDC3_+	CCDC3	550.0
chr17:64302224-64302243_PRKCA_+	PRKCA	344.0
chr4:71522123-71522142_IGJ_-	IGJ	547.0
chr2:202672313-202672332_CDK15_-	CDK15	218.0
chr2:171917635-171917654_TLK1_-	TLK1	222.0
chr5:154311685-154311704_GEMIN5_+	GEMIN5	326.0
chr11:123865055-123865074_OR10G6_+	OR10G6	296.0
chrX:130678285-130678304_OR13H1_-	OR13H1	818.0
chr18:28609484-28609503_DSC3_+	DSC3	363.0
chr6:44224193-44224212_SLC35B2_+	SLC35B2	116.0
chr7:142658167-142658186_KEL_+	KEL	279.0
chr19:9324887-9324906_OR7D4_+	OR7D4	519.0
chr5:131552923-131552942_P4HA2_-	P4HA2	514.0
chr4:1836581-1836600_LETM1_+	LETM1	0.0
chr19:58290286-58290305_ZNF586_+	ZNF586	113.0
chr3:54871220-54871239_CACNA2D3_-	CACNA2D3	526.0
chr2:86343660-86343679_PTCD3_-	PTCD3	27.0
chr3:124906087-124906106_SLC12A8_+	SLC12A8	439.0
chr14:22102965-22102984_OR10G2_-	OR10G2	670.0
chr5:175837261-175837280_CLTB_+	CLTB	876.0
chr17:57298091-57298110_GDPD1_+	GDPD1	262.0
chr1:111435052-111435071_CD53_-	CD53	414.0
chr2:65492190-65492209_ACTR2_+	ACTR2	16.0
chr13:80911672-80911691_SPRY2_-	SPRY2	196.0
chr7:150814733-150814752_AGAP3_-	AGAP3	479.0
chr5:178392354-178392373_ZNF454_+	ZNF454	694.0
chr1:109635521-109635540_TMEM167B_-	TMEM167B	818.0
chr12:57843434-57843453_INHBC_+	INHBC	212.0
chr19:44933589-44933608_ZNF229_-	ZNF229	195.0
chr4:102776298-102776317_BANK1_+	BANK1	380.0
chr1:16757836-16757855_SPATA21_-	SPATA21	341.0
chrX:68382328-68382347_PJA1_-	PJA1	95.0
chr16:30409613-30409632_ZNF48_+	ZNF48	16.0
chr20:2967450-2967469_PTPRA_-	PTPRA	581.0
chr19:53669562-53669581_ZNF665_-	ZNF665	1313.0
chr21:33829946-33829965_EVA1C_-	EVA1C	0.0
chr19:18119172-18119191_ARRDC2_-	ARRDC2	222.0
chr16:24567170-24567189_RBBP6_-	RBBP6	59.0
chr11:17098705-17098724_RPS13_+	RPS13	61.0
chr1:228033753-228033772_PRSS38_-	PRSS38	427.0
chr1:183190000-183190019_LAMC2_-	LAMC2	294.0
chr12:6837120-6837139_COPS7A_-	COPS7A	807.0
chr4:48158687-48158706_TEC_+	TEC	194.0
chr15:74836504-74836523_ARID3B_-	ARID3B	545.0
chr2:27560868-27560887_GTF3C2_-	GTF3C2	151.0
chr1:33233665-33233684_KIAA1522_+	KIAA1522	402.0
chr6:80223408-80223427_LCA5_-	LCA5	603.0
chr7:134893729-134893748_WDR91_-	WDR91	666.0
chr19:55294969-55294988_KIR2DL1_+	KIR2DL1	187.0
chr19:58453572-58453591_ZNF256_-	ZNF256	224.0
chr8:66539528-66539547_ARMC1_-	ARMC1	100.0
chr7:102098382-102098401_ALKBH4_-	ALKBH4	163.0
chr11:128868282-128868301_ARHGAP32_-	ARHGAP32	160.0
chr20:47685292-47685311_CSE1L_-	CSE1L	30.0
chr8:139180126-139180145_FAM135B_+	FAM135B	230.0
chr11:134120188-134120207_THYN1_-	THYN1	129.0
chr1:45478638-45478657_UROD_+	UROD	53.0
chr10:50534117-50534136_C10orf71_+	C10orf71	273.0
chrX:14862649-14862668_FANCB_-	FANCB	480.0
chr5:76330313-76330332_AGGF1_+	AGGF1	324.0
chr11:11470425-11470444_GALNT18_+	GALNT18	284.0
chr12:21176165-21176184_SLCO1B7_-	SLCO1B7	353.0
chr12:86198632-86198651_RASSF9_-	RASSF9	237.0
chr1:65339059-65339078_JAK1_+	JAK1	171.0
chr4:166220802-166220821_KLHL2_-	KLHL2	473.0
chr1:235506001-235506020_GGPS1_+	GGPS1	36.0
chr16:53726079-53726098_RPGRIP1L_-	RPGRIP1L	321.0
chr14:97014150-97014169_PAPOLA_+	PAPOLA	316.0
chr1:47759163-47759182_STIL_+	STIL	60.0
chr4:96762270-96762289_PDHA2_+	PDHA2	864.0
chr13:44462994-44463013_LACC1_-	LACC1	516.0
chr1:226065151-226065170_TMEM63A_-	TMEM63A	157.0
chr1:13388910-13388929_PRAMEF8_-	PRAMEF8	500.0
chr17:57775066-57775085_PTRH2_+	PTRH2	167.0
chr9:4685034-4685053_CDC37L1_+	CDC37L1	316.0
chr12:133697999-133698018_ZNF891_-	ZNF891	388.0
chrX:119744884-119744903_MCTS1_+	MCTS1	106.0
chr22:32841970-32841989_BPIFC_-	BPIFC	386.0
chr6:53156635-53156654_ELOVL5_-	ELOVL5	640.0
chr5:123979964-123979983_ZNF608_+	ZNF608	436.0
chr11:113568108-113568127_TMPRSS5_-	TMPRSS5	188.0
chr17:72227054-72227073_TTYH2_+	TTYH2	204.0
chr7:139416293-139416312_HIPK2_-	HIPK2	411.0
chr1:47157564-47157583_EFCAB14_-	EFCAB14	1174.0
chr14:77928564-77928583_AHSA1_+	AHSA1	804.0
chr12:7025655-7025674_ENO2_+	ENO2	615.0
chr8:97270592-97270611_MTERFD1_+	MTERFD1	47.0
chr17:7227018-7227037_NEURL4_+	NEURL4	44.0
chr1:161012645-161012664_USF1_-	USF1	372.0
chr4:186320744-186320763_ANKRD37_+	ANKRD37	144.0
chr1:170001029-170001048_KIFAP3_-	KIFAP3	406.0
chr7:150439433-150439452_GIMAP5_+	GIMAP5	474.0
chr20:44505392-44505411_ZSWIM3_+	ZSWIM3	350.0
chr2:132914884-132914903_ANKRD30BL_-	ANKRD30BL	328.0
chr7:86479759-86479778_GRM3_-	GRM3	332.0
chr1:153640015-153640034_ILF2_+	ILF2	149.0
chr9:135559043-135559062_GTF3C4_+	GTF3C4	103.0
chr19:18980919-18980938_GDF1_+	GDF1	429.0
chr7:26251276-26251295_CBX3_+	CBX3	62.0
chr9:92220918-92220937_GADD45G_-	GADD45G	183.0
chr5:33947343-33947362_SLC45A2_+	SLC45A2	452.0
chr2:189599569-189599588_DIRC1_+	DIRC1	404.0
chr6:42181841-42181860_MRPS10_+	MRPS10	70.0
chr5:180582511-180582530_OR2V2_-	OR2V2	352.0
chr20:32345014-32345033_ZNF341_+	ZNF341	114.0
chr14:61912423-61912442_PRKCH_+	PRKCH	556.0
chr11:5475335-5475354_OR51I2_-	OR51I2	448.0
chr3:15065624-15065643_NR2C2_+	NR2C2	486.0
chr10:121435990-121436009_BAG3_-	BAG3	287.0
chr5:147661720-147661739_SPINK13_-	SPINK13	497.0
chr7:107427294-107427313_SLC26A3_-	SLC26A3	631.0
chrY:2655476-2655495_SRY_-	SRY	122.0
chrX:153880773-153880792_CTAG2_+	CTAG2	540.0
chr4:39469245-39469264_LIAS_+	LIAS	30.0
chr1:229738568-229738587_TAF5L_-	TAF5L	24.0
chr3:52721342-52721361_GNL3_+	GNL3	35.0
chr12:10962121-10962140_TAS2R9_-	TAS2R9	525.0
chr15:37242555-37242574_MEIS2_-	MEIS2	332.0
chr9:136277943-136277962_REXO4_-	REXO4	718.0
chr1:38149039-38149058_C1orf109_-	C1orf109	258.0
chr1:62166594-62166613_TM2D1_+	TM2D1	191.0
chr6:46293186-46293205_RCAN2_+	RCAN2	392.0
chr21:34649030-34649049_IL10RB_+	IL10RB	482.0
chr18:56367780-56367799_MALT1_-	MALT1	364.0
chr16:20809533-20809552_ERI2_-	ERI2	313.0
chr7:140125938-140125957_RAB19_-	RAB19	205.0
chr4:70824634-70824653_CSN2_-	CSN2	706.0
chr17:20483743-20483762_CDRT15L2_+	CDRT15L2	564.0
chr5:114632225-114632244_CCDC112_-	CCDC112	293.0
chr19:46272087-46272106_SIX5_-	SIX5	279.0
chr6:132910580-132910599_TAAR5_+	TAAR5	608.0
chr6:132966604-132966623_TAAR1_-	TAAR1	415.0
chr10:90435393-90435412_LIPF_+	LIPF	344.0
chr6:43267436-43267455_SLC22A7_-	SLC22A7	487.0
chr19:9577923-9577942_ZNF560_-	ZNF560	134.0
chr5:55185833-55185852_IL31RA_+	IL31RA	145.0
chr11:16877412-16877431_PLEKHA7_-	PLEKHA7	523.0
chr7:144063946-144063965_ARHGEF5_+	ARHGEF5	437.0
chr15:50769066-50769085_USP8_-	USP8	140.0
chr14:74947425-74947444_NPC2_-	NPC2	361.0
chr3:48019390-48019409_MAP4_-	MAP4	239.0
chr6:27420854-27420873_ZNF184_-	ZNF184	281.0
chr2:102968014-102968033_IL1RL1_+	IL1RL1	33.0
chr11:122931288-122931307_HSPA8_+	HSPA8	17.0
chr9:97535429-97535448_C9orf3_+	C9orf3	378.0
chr17:29647429-29647448_EVI2A_+	EVI2A	120.0
chr19:9226121-9226140_OR7G1_+	OR7G1	205.0
chr1:6292010-6292029_ICMT_+	ICMT	365.0
chr9:13247745-13247764_MPDZ_-	MPDZ	608.0
chr8:116599327-116599346_TRPS1_-	TRPS1	398.0
chrX:138714583-138714602_MCF2_+	MCF2	599.0
chr11:77850593-77850612_ALG8_+	ALG8	359.0
chr8:27634423-27634442_ESCO2_+	ESCO2	75.0
chr12:27521220-27521239_ARNTL2_-	ARNTL2	313.0
chr11:34470822-34470841_CAT_-	CAT	168.0
chr1:196876030-196876049_CFHR4_-	CFHR4	0.0
chr17:39927918-39927937_JUP_-	JUP	340.0
chr20:57019228-57019247_VAPB_-	VAPB	322.0
chr9:140063515-140063534_LRRC26_+	LRRC26	774.0
chr4:146560709-146560728_MMAA_+	MMAA	365.0
chr21:48064258-48064277_PRMT2_+	PRMT2	224.0
chr1:154127430-154127449_NUP210L_+	NUP210L	56.0
chr2:48018117-48018136_MSH6_-	MSH6	680.0
chr4:15937625-15937644_FGFBP1_-	FGFBP1	479.0
chr1:78408213-78408232_NEXN_+	NEXN	142.0
chr6:70637903-70637922_COL19A1_+	COL19A1	106.0
chr17:9729539-9729558_GLP2R_-	GLP2R	347.0
chr11:120200902-120200921_TMEM136_-	TMEM136	611.0
chr10:88677012-88677031_BMPR1A_-	BMPR1A	210.0
chr16:27353548-27353567_IL4R_-	IL4R	327.0
chr4:85748021-85748040_WDFY3_-	WDFY3	106.0
chr10:102116487-102116506_SCD_-	SCD	6.0
chr10:75673396-75673415_PLAU_-	PLAU	154.0
chr7:20668388-20668407_ABCB5_-	ABCB5	630.0
chr14:23072393-23072412_ABHD4_-	ABHD4	321.0
chr11:118849545-118849564_FOXR1_+	FOXR1	117.0
chr4:108816830-108816849_SGMS2_+	SGMS2	347.0
chrX:78427067-78427086_GPR174_-	GPR174	305.0
chrX:142716964-142716983_SLITRK4_-	SLITRK4	326.0
chr6:25665227-25665246_SCGN_+	SCGN	662.0
chr9:17143333-17143352_CNTLN_+	CNTLN	750.0
chr5:74387139-74387158_ANKRD31_-	ANKRD31	658.0
chr1:155110531-155110550_SLC50A1_-	SLC50A1	178.0
chr10:96701660-96701679_CYP2C9_+	CYP2C9	734.0
chr1:89414809-89414828_CCBL2_-	CCBL2	399.0
chr6:87796108-87796127_CGA_-	CGA	222.0
chr1:100680410-100680429_DBT_-	DBT	727.0
chr6:27860862-27860881_HIST1H2AM_-	HIST1H2AM	366.0
chr10:20106099-20106118_PLXDC2_+	PLXDC2	512.0
chr19:649714-649733_RNF126_-	RNF126	343.0
chr17:56770128-56770147_RAD51C_+	RAD51C	0.0
chr11:12518101-12518120_PARVA_+	PARVA	696.0
chr7:64864714-64864733_ZNF92_+	ZNF92	616.0
chr8:25890623-25890642_EBF2_-	EBF2	290.0
chr4:122791435-122791454_BBS7_-	BBS7	177.0
chr6:114277280-114277299_HDAC2_-	HDAC2	278.0
chr16:87451054-87451073_ZCCHC14_+	ZCCHC14	520.0
chr6:52999093-52999112_GCM1_-	GCM1	60.0
chr5:178459466-178459485_ZNF879_+	ZNF879	224.0
chr1:28087011-28087030_FAM76A_+	FAM76A	245.0
chr17:7346056-7346075_FGF11_+	FGF11	482.0
chr1:154099855-154099874_NUP210L_-	NUP210L	540.0
chr20:10030237-10030256_ANKEF1_-	ANKEF1	686.0
chr2:29606631-29606650_ALK_-	ALK	91.0
chr16:84256540-84256559_KCNG4_+	KCNG4	686.0
chr1:196883664-196883683_CFHR4_-	CFHR4	1.0
chr8:145060289-145060308_PARP10_-	PARP10	270.0
chr19:47152478-47152497_DACT3_-	DACT3	957.0
chr7:138827021-138827040_TTC26_+	TTC26	712.0
chr14:59930633-59930652_GPR135_-	GPR135	620.0
chr6:16130877-16130896_MYLIP_+	MYLIP	340.0
chr17:4402619-4402638_SPNS2_+	SPNS2	93.0
chr1:113257899-113257918_PPM1J_-	PPM1J	68.0
chr13:21306005-21306024_N6AMT2_-	N6AMT2	122.0
chr11:122850079-122850098_BSX_+	BSX	833.0
chr3:170150481-170150500_CLDN11_+	CLDN11	213.0
chr12:57118228-57118247_NACA_+	NACA	62.0
chr2:161055758-161055777_ITGB6_-	ITGB6	523.0
chr20:18440833-18440852_DZANK1_-	DZANK1	561.0
chr4:99403164-99403183_TSPAN5_-	TSPAN5	393.0
chr17:46152431-46152450_CBX1_+	CBX1	388.0
chr4:82380590-82380609_RASGEF1B_-	RASGEF1B	629.0
chr18:21898749-21898768_OSBPL1A_-	OSBPL1A	571.0
chrX:79698717-79698736_FAM46D_+	FAM46D	106.0
chr7:86998785-86998804_CROT_-	CROT	606.0
chr12:93134703-93134722_PLEKHG7_+	PLEKHG7	289.0
chr1:158670301-158670320_OR6K2_-	OR6K2	228.0
chr7:86825963-86825982_TMEM243_-	TMEM243	274.0
chr18:71797684-71797703_FBXO15_-	FBXO15	317.0
chr14:64066329-64066348_WDR89_-	WDR89	385.0
chr2:190670459-190670478_PMS1_+	PMS1	486.0
chr16:72993154-72993173_ZFHX3_+	ZFHX3	575.0
chr12:121855641-121855660_RNF34_-	RNF34	157.0
chr1:158815430-158815449_MNDA_+	MNDA	313.0
chr7:140706285-140706304_MRPS33_-	MRPS33	80.0
chr11:5462230-5462249_OR51I1_-	OR51I1	379.0
chr7:69364335-69364354_AUTS2_+	AUTS2	127.0
chr1:150193015-150193034_ANP32E_-	ANP32E	325.0
chr14:57740981-57741000_AP5M1_+	AP5M1	382.0
chr7:4822955-4822974_AP5Z1_+	AP5Z1	747.0
chr8:68942821-68942840_PREX2_+	PREX2	372.0
chr9:104357179-104357198_PPP3R2_-	PPP3R2	501.0
chr13:61987997-61988016_PCDH20_-	PCDH20	257.0
chr13:109445967-109445986_MYO16_+	MYO16	132.0
chr8:49986817-49986836_C8orf22_-	C8orf22	311.0
chr11:86519358-86519377_PRSS23_+	PRSS23	133.0
chr5:50090761-50090780_PARP8_+	PARP8	213.0
chr10:48416570-48416589_GDF2_-	GDF2	577.0
chr15:79606203-79606222_TMED3_-	TMED3	628.0
chr20:3063635-3063654_AVP_+	AVP	348.0
chr6:170873699-170873718_TBP_+	TBP	174.0
chr6:99771397-99771416_FAXC_-	FAXC	712.0
chr3:38181878-38181897_MYD88_-	MYD88	245.0
chr16:27367157-27367176_IL4R_-	IL4R	341.0
chr3:69299203-69299222_FRMD4B_+	FRMD4B	222.0
chr2:201677968-201677987_BZW1_-	BZW1	305.0
chr2:165996086-165996105_SCN3A_-	SCN3A	305.0
chr8:97620677-97620696_SDC2_+	SDC2	434.0
chr18:8635583-8635602_RAB12_+	RAB12	193.0
chr11:61136095-61136114_TMEM138_+	TMEM138	187.0
chr1:6680310-6680329_PHF13_+	PHF13	216.0
chr16:50188139-50188158_PAPD5_+	PAPD5	235.0
chr7:931986-932005_GET4_-	GET4	306.0
chr3:56651596-56651615_CCDC66_+	CCDC66	453.0
chr17:5312123-5312142_NUP88_-	NUP88	73.0
chr10:5541311-5541330_CALML5_-	CALML5	47.0
chr8:145163447-145163466_KIAA1875_-	KIAA1875	455.0
chr6:114180879-114180898_MARCKS_+	MARCKS	270.0
chr12:56415290-56415309_IKZF4_-	IKZF4	312.0
chr20:23028785-23028804_THBD_-	THBD	350.0
chr21:44328983-44329002_NDUFV3_-	NDUFV3	643.0
chr10:123310830-123310849_FGFR2_-	FGFR2	483.0
chr2:85843506-85843525_USP39_-	USP39	83.0
chr8:11163734-11163753_MTMR9_+	MTMR9	720.0
chr9:108424971-108424990_TAL2_+	TAL2	572.0
chr10:43882900-43882919_HNRNPF_-	HNRNPF	114.0
chr5:140182629-140182648_PCDHA3_-	PCDHA3	430.0
chr13:23869596-23869615_SGCG_-	SGCG	468.0
chr6:22292852-22292871_PRL_-	PRL	892.0
chr8:94146701-94146720_C8orf87_-	C8orf87	501.0
chr13:99378445-99378464_SLC15A1_+	SLC15A1	365.0
chr11:67269790-67269809_PITPNM1_-	PITPNM1	646.0
chr3:3887630-3887649_LRRN1_+	LRRN1	441.0
chr1:160208413-160208432_DCAF8_-	DCAF8	165.0
chr15:57730902-57730921_CGNL1_+	CGNL1	368.0
chr5:94245057-94245076_MCTP1_-	MCTP1	192.0
chr18:32825366-32825385_ZNF397_+	ZNF397	432.0
chr2:170747720-170747739_UBR3_+	UBR3	534.0
chr4:187554873-187554892_FAT1_-	FAT1	432.0
chr16:66783162-66783181_DYNC1LI2_-	DYNC1LI2	485.0
chr10:34739349-34739368_PARD3_-	PARD3	277.0
chr15:51839429-51839448_DMXL2_-	DMXL2	96.0
chr8:70617356-70617375_SLCO5A1_-	SLCO5A1	251.0
chr10:69682827-69682846_HERC4_-	HERC4	336.0
chr15:62950010-62950029_TLN2_-	TLN2	160.0
chr11:680955-680974_DEAF1_+	DEAF1	525.0
chr13:111357860-111357879_CARS2_+	CARS2	137.0
chr2:109398846-109398865_RANBP2_-	RANBP2	159.0
chr8:37734619-37734638_RAB11FIP1_+	RAB11FIP1	720.0
chr2:75921517-75921536_GCFC2_-	GCFC2	516.0
chr4:104082260-104082279_CENPE_-	CENPE	104.0
chr7:100424593-100424612_EPHB4_+	EPHB4	360.0
chr6:43487103-43487122_POLR1C_+	POLR1C	76.0
chr4:153574041-153574060_TMEM154_-	TMEM154	411.0
chr22:23968211-23968230_C22orf43_+	C22orf43	412.0
chr4:52883286-52883305_LRRC66_-	LRRC66	384.0
chr3:43389693-43389712_SNRK_+	SNRK	241.0
chr5:138749847-138749866_DNAJC18_-	DNAJC18	64.0
chr15:43641240-43641259_ADAL_-	ADAL	705.0
chr12:21679879-21679898_C12orf39_+	C12orf39	463.0
chr10:49935641-49935660_WDFY4_-	WDFY4	573.0
chr1:196965216-196965235_CFHR5_-	CFHR5	347.0
chr6:36823630-36823649_PPIL1_-	PPIL1	409.0
chr15:65851036-65851055_PTPLAD1_+	PTPLAD1	41.0
chr19:18273234-18273253_PIK3R2_+	PIK3R2	676.0
chrX:30873035-30873054_TAB3_-	TAB3	149.0
chr2:183066175-183066194_PDE1A_+	PDE1A	455.0
chr1:45155503-45155522_C1orf228_-	C1orf228	361.0
chr19:45419489-45419508_APOC1_-	APOC1	180.0
chrX:128922012-128922031_SASH3_-	SASH3	201.0
chr3:130715631-130715650_ATP2C1_-	ATP2C1	359.0
chr2:202070675-202070694_CASP10_+	CASP10	0.0
chr18:9122639-9122658_NDUFV2_+	NDUFV2	151.0
chr7:82595187-82595206_PCLO_+	PCLO	55.0
chr20:17936087-17936106_SNX5_+	SNX5	373.0
chr4:41749526-41749545_PHOX2B_-	PHOX2B	357.0
chr17:40951117-40951136_CNTD1_-	CNTD1	238.0
chr11:108464229-108464248_EXPH5_+	EXPH5	1095.0
chr10:13782530-13782549_FRMD4A_-	FRMD4A	378.0
chr15:33180375-33180394_FMN1_-	FMN1	339.0
chr16:3297223-3297242_MEFV_-	MEFV	184.0
chrX:84301458-84301477_APOOL_+	APOOL	516.0
chr2:70096950-70096969_GMCL1_-	GMCL1	366.0
chr7:144150662-144150681_TPK1_-	TPK1	607.0
chr7:20666199-20666218_ABCB5_+	ABCB5	246.0
chrX:135431525-135431544_GPR112_-	GPR112	396.0
chr19:52497672-52497691_ZNF615_+	ZNF615	276.0
chr10:124746425-124746444_PSTK_+	PSTK	0.0
chr10:35894537-35894556_GJD4_+	GJD4	721.0
chr3:25835715-25835734_OXSM_-	OXSM	172.0
chr20:123281-123300_DEFB126_-	DEFB126	375.0
chr12:113706551-113706570_TPCN1_-	TPCN1	394.0
chr15:40921563-40921582_CASC5_-	CASC5	406.0
chr3:110611299-110611318_RP11-553A10.1_+	RP11-553A10.1	440.0
chr5:9629985-9630004_TAS2R1_+	TAS2R1	171.0
chr11:57480211-57480230_TMX2_+	TMX2	77.0
chr17:43333137-43333156_SPATA32_-	SPATA32	332.0
chr6:10626809-10626828_GCNT2_+	GCNT2	210.0
chr14:78146251-78146270_ALKBH1_-	ALKBH1	548.0
chr17:45904525-45904544_MRPL10_+	MRPL10	53.0
chr10:129847896-129847915_PTPRE_-	PTPRE	370.0
chr6:18258191-18258210_DEK_-	DEK	392.0
chr2:37455377-37455396_CEBPZ_-	CEBPZ	40.0
chr14:104407736-104407755_RD3L_-	RD3L	144.0
chr17:2200574-2200593_SMG6_-	SMG6	240.0
chr16:47409805-47409824_ITFG1_+	ITFG1	201.0
chr16:2868701-2868720_PRSS21_-	PRSS21	390.0
chr1:206944363-206944382_IL10_+	IL10	237.0
chr2:192922440-192922459_TMEFF2_+	TMEFF2	239.0
chr1:16563180-16563199_RSG1_-	RSG1	309.0
chr20:18005344-18005363_OVOL2_-	OVOL2	174.0
chr13:27845166-27845185_RASL11A_+	RASL11A	297.0
chr1:231700419-231700438_TSNAX_-	TSNAX	320.0
chr1:202933748-202933767_CYB5R1_-	CYB5R1	379.0
chr22:27026303-27026322_CRYBA4_-	CRYBA4	420.0
chr8:18725483-18725502_PSD3_+	PSD3	389.0
chr12:53668640-53668659_ESPL1_+	ESPL1	13.0
chr12:99020482-99020501_IKBIP_+	IKBIP	71.0
chr1:155174939-155174958_THBS3_-	THBS3	221.0
chr4:74607711-74607730_IL8_+	IL8	597.0
chr3:129696049-129696068_TRH_-	TRH	218.0
chr21:44589268-44589287_CRYAA_-	CRYAA	721.0
chr6:74063035-74063054_DPPA5_+	DPPA5	79.0
chr22:46494432-46494451_FLJ27365_-	FLJ27365	195.0
chr5:80681590-80681609_ACOT12_+	ACOT12	330.0
chr19:33285656-33285675_TDRD12_-	TDRD12	532.0
chr5:153432922-153432941_MFAP3_+	MFAP3	1446.0
chr7:97488236-97488255_ASNS_-	ASNS	271.0
chr9:129851397-129851416_ANGPTL2_-	ANGPTL2	249.0
chr19:15852334-15852353_OR10H3_-	OR10H3	589.0
chr1:1550881-1550900_MIB2_-	MIB2	109.0
chr12:45209873-45209892_NELL2_+	NELL2	266.0
chr1:172001619-172001638_DNM3_+	DNM3	353.0
chr11:118235860-118235879_UBE4A_-	UBE4A	333.0
chr8:68340274-68340293_CPA6_+	CPA6	282.0
chr11:111800623-111800642_DIXDC1_-	DIXDC1	307.0
chr5:65076097-65076116_NLN_-	NLN	329.0
chr12:9984999-9985018_KLRF1_-	KLRF1	643.0
chr2:64085059-64085078_UGP2_-	UGP2	90.0
chr5:150110970-150110989_DCTN4_+	DCTN4	170.0
chr2:102955438-102955457_IL1RL1_-	IL1RL1	358.0
chr3:125735612-125735631_SLC41A3_+	SLC41A3	221.0
chr22:36745221-36745240_MYH9_-	MYH9	431.0
chr16:15932037-15932056_MYH11_-	MYH11	294.0
chr1:28527830-28527849_DNAJC8_-	DNAJC8	66.0
chr9:126433595-126433614_DENND1A_-	DENND1A	980.0
chr19:14938702-14938721_OR7A5_-	OR7A5	733.0
chr15:23060867-23060886_NIPA1_-	NIPA1	315.0
chr9:80921369-80921388_PSAT1_+	PSAT1	624.0
chr8:124710745-124710764_ANXA13_-	ANXA13	443.0
chr9:132400284-132400303_ASB6_-	ASB6	516.0
chr14:23310785-23310804_MMP14_-	MMP14	371.0
chr1:153347043-153347062_S100A12_-	S100A12	85.0
chr4:90170018-90170037_GPRIN3_-	GPRIN3	198.0
chr3:45151992-45152011_CDCP1_+	CDCP1	727.0
chr1:198248128-198248147_NEK7_+	NEK7	612.0
chr8:21903782-21903801_FGF17_-	FGF17	481.0
chr3:184020211-184020230_PSMD2_-	PSMD2	148.0
chr10:114710981-114711000_TCF7L2_-	TCF7L2	278.0
chr2:112922602-112922621_FBLN7_-	FBLN7	571.0
chr22:29169731-29169750_CCDC117_+	CCDC117	248.0
chr19:44570917-44570936_ZNF223_+	ZNF223	186.0
chr2:24398416-24398435_FAM228A_-	FAM228A	294.0
